,都道府県,累計感染者数,入院者数,退院者数,死亡者数,日付
0,東京都,227,194,28,5,2020-03-26
1,北海道,167,62,98,7,2020-03-26
2,愛知県,147,93,36,19,2020-03-26
3,大阪府,136,93,41,2,2020-03-26
4,兵庫県,87,77,5,6,2020-03-26
5,神奈川県,82,60,18,4,2020-03-26
6,埼玉県,60,46,13,1,2020-03-26
7,千葉県,54,36,18,0,2020-03-26
8,京都府,29,21,8,0,2020-03-26
9,新潟県,24,21,3,0,2020-03-26
10,大分県,17,16,1,0,2020-03-26
11,和歌山県,15,4,10,1,2020-03-26
12,岐阜県,14,13,1,0,2020-03-26
13,群馬県,14,13,0,1,2020-03-26
14,福岡県,11,9,2,0,2020-03-26
15,高知県,11,0,11,0,2020-03-26
16,栃木県,10,8,2,0,2020-03-26
17,茨城県,9,9,0,0,2020-03-26
18,熊本県,7,5,2,0,2020-03-26
19,滋賀県,6,5,1,0,2020-03-26
20,石川県,6,3,3,0,2020-03-26
21,三重県,6,4,2,0,2020-03-26
22,福井県,5,5,0,0,2020-03-26
23,奈良県,5,2,3,0,2020-03-26
24,山口県,4,4,0,0,2020-03-26
25,広島県,4,3,1,0,2020-03-26
26,沖縄県,4,2,2,0,2020-03-26
27,長野県,4,2,2,0,2020-03-26
28,山梨県,4,2,2,0,2020-03-26
29,青森県,4,4,0,0,2020-03-26
30,静岡県,3,1,2,0,2020-03-26
31,宮崎県,3,2,1,0,2020-03-26
32,宮城県,2,1,1,0,2020-03-26
33,愛媛県,2,1,1,0,2020-03-26
34,福島県,2,2,0,0,2020-03-26
35,鹿児島県,1,1,0,0,2020-03-26
36,秋田県,1,0,1,0,2020-03-26
37,岡山県,1,1,0,0,2020-03-26
38,香川県,1,1,0,0,2020-03-26
39,佐賀県,1,1,0,0,2020-03-26
40,長崎県,1,1,0,0,2020-03-26
41,総計,1191,828,319,46,2020-03-26
