,都道府県,累計感染者数,入院者数,退院者数,死亡者数,日付
0,北海道,161,72,83,6,2020-03-22
1,愛知県,134,111,8,16,2020-03-22
2,東京都,132,103,25,4,2020-03-22
3,大阪府,113,85,26,2,2020-03-22
4,兵庫県,83,76,2,6,2020-03-22
5,神奈川県,67,49,14,4,2020-03-22
6,埼玉県,45,34,10,1,2020-03-22
7,千葉県,42,27,15,0,2020-03-22
8,新潟県,22,19,3,0,2020-03-22
9,京都府,20,13,7,0,2020-03-22
10,大分県,15,14,1,0,2020-03-22
11,和歌山県,15,5,9,1,2020-03-22
12,高知県,11,0,11,0,2020-03-22
13,群馬県,11,10,0,1,2020-03-22
14,熊本県,6,5,1,0,2020-03-22
15,石川県,6,3,3,0,2020-03-22
16,三重県,6,4,2,0,2020-03-22
17,岐阜県,5,4,1,0,2020-03-22
18,奈良県,5,3,2,0,2020-03-22
19,福岡県,5,3,2,0,2020-03-22
20,栃木県,4,2,2,0,2020-03-22
21,滋賀県,4,4,0,0,2020-03-22
22,広島県,3,2,1,0,2020-03-22
23,沖縄県,3,1,2,0,2020-03-22
24,長野県,3,2,1,0,2020-03-22
25,静岡県,3,2,1,0,2020-03-22
26,宮崎県,3,3,0,0,2020-03-22
27,茨城県,3,3,0,0,2020-03-22
28,山口県,2,2,0,0,2020-03-22
29,山梨県,2,1,1,0,2020-03-22
30,愛媛県,2,1,1,0,2020-03-22
31,福島県,2,2,0,0,2020-03-22
32,岡山県,1,1,0,0,2020-03-22
33,秋田県,1,0,1,0,2020-03-22
34,宮城県,1,0,1,0,2020-03-22
35,福井県,1,1,0,0,2020-03-22
36,香川県,1,1,0,0,2020-03-22
37,佐賀県,1,1,0,0,2020-03-22
38,総計,944,669,236,41,2020-03-22
