,都道府県,累計感染者数,前日比,入院者数,入院者割合,退院者数,退院者割合,死亡者数,死亡者割合,日付
0,北海道,156,3,80,51%,69,44%,7,4%,2020-03-19
1,愛知県,127,4,110,87%,3,2%,14,11%,2020-03-19
2,東京都,112,7,86,77%,24,21%,2,2%,2020-03-19
3,大阪府,102,2,79,77%,22,22%,1,1%,2020-03-19
4,兵庫県,69,0,64,93%,1,1%,4,6%,2020-03-19
5,神奈川県,57,5,47,82%,6,11%,4,7%,2020-03-19
6,埼玉県,36,4,32,89%,4,11%,0,0%,2020-03-19
7,千葉県,34,3,25,74%,9,26%,0,0%,2020-03-19
8,京都府,17,0,11,65%,6,35%,0,0%,2020-03-19
9,新潟県,17,0,16,94%,1,6%,0,0%,2020-03-19
10,和歌山県,14,1,5,36%,8,57%,1,7%,2020-03-19
11,高知県,11,0,0,0%,11,100%,0,0%,2020-03-19
12,群馬県,10,0,10,100%,0,0%,0,0%,2020-03-19
13,熊本県,6,1,6,100%,0,0%,0,0%,2020-03-19
14,三重県,6,1,5,83%,1,17%,0,0%,2020-03-19
15,石川県,5,0,3,60%,2,40%,0,0%,2020-03-19
16,福岡県,5,1,3,60%,2,40%,0,0%,2020-03-19
17,奈良県,4,0,2,50%,2,50%,0,0%,2020-03-19
18,滋賀県,4,鹿児島0,4,100%,0,0%,0,0%,2020-03-19
19,沖縄県,3,0,1,33%,2,67%,0,0%,2020-03-19
20,長野県,3,0,3,100%,0,0%,0,0%,2020-03-19
21,岐阜県,3,0,2,67%,1,33%,0,0%,2020-03-19
22,栃木県,3,0,1,33%,2,67%,0,0%,2020-03-19
23,静岡県,3,0,2,67%,1,33%,0,0%,2020-03-19
24,大分県,3,2,2,67%,1,33%,0,0%,2020-03-19
25,宮崎県,3,0,3,100%,0,0%,0,0%,2020-03-19
26,茨城県,3,1,3,100%,0,0%,0,0%,2020-03-19
27,山梨県,2,0,2,100%,0,0%,0,0%,2020-03-19
28,愛媛県,2,0,1,50%,1,50%,0,0%,2020-03-19
29,福島県,2,0,2,100%,0,0%,0,0%,2020-03-19
30,秋田県,1,0,0,0%,1,100%,0,0%,2020-03-19
31,宮城県,1,0,0,0%,1,100%,0,0%,2020-03-19
32,山口県,1,0,1,100%,0,0%,0,0%,2020-03-19
33,広島県,1,0,0,0%,1,100%,0,0%,2020-03-19
34,福井県,1,0,1,100%,0,0%,0,0%,2020-03-19
35,香川県,1,0,1,100%,0,0%,0,0%,2020-03-19
36,佐賀県,1,0,1,100%,0,0%,0,0%,2020-03-19
37,総計,829,35,614,74%,182,22%,33,4%,2020-03-19
