,都道府県,累計感染者数,入院者数,退院者数,死亡者数,日付
0,北海道,161,65,90,6,2020-03-23
1,東京都,146,116,26,4,2020-03-23
2,愛知県,136,112,8,17,2020-03-23
3,大阪府,116,87,27,2,2020-03-23
4,兵庫県,85,78,2,6,2020-03-23
5,神奈川県,68,47,17,4,2020-03-23
6,埼玉県,46,34,11,1,2020-03-23
7,千葉県,45,30,15,0,2020-03-23
8,新潟県,22,19,3,0,2020-03-23
9,京都府,21,14,7,0,2020-03-23
10,和歌山県,15,5,9,1,2020-03-23
11,大分県,15,14,1,0,2020-03-23
12,高知県,11,0,11,0,2020-03-23
13,群馬県,11,10,0,1,2020-03-23
14,岐阜県,8,7,1,0,2020-03-23
15,福岡県,6,4,2,0,2020-03-23
16,熊本県,6,5,1,0,2020-03-23
17,石川県,6,3,1,0,2020-03-23
18,三重県,6,4,3,0,2020-03-23
19,茨城県,5,5,2,0,2020-03-23
20,滋賀県,5,4,1,0,2020-03-23
21,奈良県,5,2,3,0,2020-03-23
22,栃木県,4,2,2,0,2020-03-23
23,沖縄県,3,1,2,0,2020-03-23
24,長野県,3,2,1,0,2020-03-23
25,静岡県,3,2,1,0,2020-03-23
26,宮崎県,3,3,0,0,2020-03-23
27,広島県,3,2,1,0,2020-03-23
28,青森県,2,2,0,0,2020-03-23
29,山梨県,2,1,1,0,2020-03-23
30,山口県,2,2,0,0,2020-03-23
31,愛媛県,2,1,1,0,2020-03-23
32,福島県,2,2,0,0,2020-03-23
33,秋田県,1,0,1,0,2020-03-23
34,宮城県,1,0,1,0,2020-03-23
35,福井県,1,1,0,0,2020-03-23
36,岡山県,1,1,0,0,2020-03-23
37,香川県,1,1,0,0,2020-03-23
38,佐賀県,1,1,0,0,2020-03-23
39,総計,980,689,251,42,2020-03-23
