,都道府県,累計感染者数,入院者数,退院者数,死亡者数,日付
0,東京都,201,170,27,5,2020-03-25
1,北海道,166,61,98,7,2020-03-25
2,愛知県,144,91,36,18,2020-03-25
3,大阪府,129,90,37,2,2020-03-25
4,兵庫県,87,77,5,6,2020-03-25
5,神奈川県,77,56,17,4,2020-03-25
6,埼玉県,53,40,12,1,2020-03-25
7,千葉県,51,34,17,0,2020-03-25
8,京都府,27,20,7,0,2020-03-25
9,新潟県,24,21,3,0,2020-03-25
10,大分県,16,15,1,0,2020-03-25
11,和歌山県,15,5,9,1,2020-03-25
12,群馬県,13,12,0,1,2020-03-25
13,岐阜県,12,11,1,0,2020-03-25
14,高知県,11,0,11,0,2020-03-25
15,茨城県,9,9,0,0,2020-03-25
16,福岡県,9,7,2,0,2020-03-25
17,熊本県,6,4,2,0,2020-03-25
18,石川県,6,3,3,0,2020-03-25
19,栃木県,6,4,2,0,2020-03-25
20,三重県,6,4,2,0,2020-03-25
21,奈良県,5,2,3,0,2020-03-25
22,滋賀県,5,4,1,0,2020-03-25
23,青森県,4,4,0,0,2020-03-25
24,沖縄県,4,2,2,0,2020-03-25
25,長野県,4,2,2,0,2020-03-25
26,山梨県,4,3,1,0,2020-03-25
27,福井県,3,3,0,0,2020-03-25
28,山口県,3,3,0,0,2020-03-25
29,静岡県,3,1,2,0,2020-03-25
30,宮崎県,3,2,1,0,2020-03-25
31,広島県,3,2,1,0,2020-03-25
32,愛媛県,2,1,1,0,2020-03-25
33,福島県,2,2,0,0,2020-03-25
34,長崎県,1,1,0,0,2020-03-25
35,秋田県,1,0,1,0,2020-03-25
36,宮城県,1,0,1,0,2020-03-25
37,岡山県,1,1,0,0,2020-03-25
38,香川県,1,1,0,0,2020-03-25
39,佐賀県,1,1,0,0,2020-03-25
40,総計,1119,769,308,45,2020-03-25
