,都道府県,累計感染者数,前日比,入院者数,入院者割合,退院者数,退院者割合,死亡者数,死亡者割合,日付
0,北海道,158.0,1.0,71,45%,81,51%,6,4%,2020-03-21
1,愛知県,132.0,2.0,108,82%,8,6%,16,12%,2020-03-21
2,東京都,130.0,7.0,101,78%,25,19%,4,3%,2020-03-21
3,大阪府,108.0,2.0,81,75%,26,24%,1,1%,2020-03-21
4,兵庫県,81.0,5.0,75,93%,2,2%,4,5%,2020-03-21
5,神奈川県,61.0,3.0,45,74%,12,20%,4,7%,2020-03-21
6,埼玉県,41.0,3.0,34,83%,7,17%,0,0%,2020-03-21
7,千葉県,40.0,1.0,26,65%,14,35%,0,0%,2020-03-21
8,新潟県,22.0,5.0,20,91%,2,9%,0,0%,2020-03-21
9,京都府,19.0,1.0,12,63%,7,37%,0,0%,2020-03-21
10,和歌山県,15.0,0.0,5,33%,9,60%,1,7%,2020-03-21
11,大分県,11.0,5.0,10,91%,1,9%,0,0%,2020-03-21
13,高知県,11.0,0.0,0,0%,11,100%,0,0%,2020-03-21
14,群馬県,11.0,0.0,11,100%,0,0%,0,0%,2020-03-21
15,熊本県,6.0,0.0,5,83%,1,17%,0,0%,2020-03-21
17,石川県,6.0,0.0,3,50%,3,50%,0,0%,2020-03-21
18,三重県,6.0,0.0,5,83%,1,17%,0,0%,2020-03-21
19,福岡県,5.0,0.0,3,60%,2,40%,0,0%,2020-03-21
20,栃木県,4.0,1.0,3,75%,1,25%,0,0%,2020-03-21
21,奈良県,4.0,0.0,2,50%,2,50%,0,0%,2020-03-21
22,滋賀県,4.0,0.0,4,100%,0,0%,0,0%,2020-03-21
23,沖縄県,3.0,0.0,1,33%,2,67%,0,0%,2020-03-21
24,長野県,3.0,0.0,2,67%,1,33%,0,0%,2020-03-21
25,岐阜県,3.0,0.0,2,67%,1,33%,0,0%,2020-03-21
26,静岡県,3.0,0.0,2,67%,1,33%,0,0%,2020-03-21
27,宮崎県,3.0,0.0,3,100%,0,0%,0,0%,2020-03-21
29,茨城県,3.0,0.0,3,100%,0,0%,0,0%,2020-03-21
30,山梨県,2.0,0.0,2,100%,0,0%,0,0%,2020-03-21
31,愛媛県,2.0,0.0,1,50%,1,50%,0,0%,2020-03-21
32,広島県,2.0,0.0,1,50%,1,50%,0,0%,2020-03-21
33,福島県,2.0,0.0,2,100%,0,0%,0,0%,2020-03-21
34,秋田県,1.0,0.0,0,0%,1,100%,0,0%,2020-03-21
35,宮城県,1.0,0.0,0,0%,1,100%,0,0%,2020-03-21
36,山口県,1.0,0.0,1,100%,0,0%,0,0%,2020-03-21
37,福井県,1.0,0.0,1,100%,0,0%,0,0%,2020-03-21
38,香川県,1.0,0.0,1,100%,0,0%,0,0%,2020-03-21
39,佐賀県,1.0,0.0,1,100%,0,0%,0,0%,2020-03-21
40,総計,907.0,36.0,647,71%,224,25%,36,4%,2020-03-21
