,lon,lat,name
37,135.75802795,34.98719397,100号系統
38,135.75814499999998,34.98718583,100号系統
39,135.75826556,34.98718611,100号系統
40,135.75858497,34.98718655,100号系統
41,135.75946243,34.98719409,100号系統
42,135.75966306,34.98719139,100号系統
43,135.75982694,34.98719194,100号系統
44,135.76043806,34.98720583,100号系統
45,135.76071583,34.98721194,100号系統
46,135.7610875,34.98722056,100号系統
47,135.76268564,34.98725575,100号系統
48,135.76344861,34.98727417,100号系統
49,135.76428528,34.98729306,100号系統
50,135.76428722,34.98720861,100号系統
51,135.76476306,34.98717306,100号系統
52,135.76609389,34.98707389,100号系統
53,135.76708417,34.98702417,100号系統
54,135.76759417,34.98699611,100号系統
55,135.76800361,34.98697361,100号系統
56,135.76825694,34.98696167,100号系統
57,135.76815278,34.98765194,100号系統
58,135.76811806,34.98788222,100号系統
59,135.76810806,34.9879475,100号系統
60,135.76810333,34.98798444,100号系統
61,135.76805,34.98839333,100号系統
62,135.76803722,34.98849139,100号系統
63,135.76794361,34.98909417,100号系統
64,135.76791278,34.98932222,100号系統
65,135.76823389,34.989325,100号系統
66,135.76850466,34.98934368,100号系統
67,135.76890001,34.98934368,100号系統
68,135.76939419,34.98931897,100号系統
69,135.76960889,34.98929556,100号系統
70,135.77034583,34.98927556,100号系統
71,135.77064833,34.98926722,100号系統
72,135.77094397,34.98924812,100号系統
73,135.77117694,34.9892325,100号系統
74,135.77130694,34.98922417,100号系統
75,135.77251972,34.989145,100号系統
76,135.77453371,34.98908423,100号系統
77,135.77462833,34.98960194,100号系統
78,135.77483022,34.99197521,100号系統
79,135.7749,34.99261667,100号系統
80,135.77492028,34.99266722,100号系統
81,135.7750275,34.99293194,100号系統
82,135.77517806,34.99314667,100号系統
83,135.77534194,34.9933375,100号系統
84,135.77548167,34.99350028,100号系統
85,135.7757125,34.99379889,100号系統
86,135.77578667,34.993915,100号系統
87,135.77583944,34.99400361,100号系統
88,135.77585566,34.99403843,100号系統
89,135.77613583,34.99425917,100号系統
90,135.77615861,34.99429278,100号系統
91,135.77625,34.99442944,100号系統
92,135.77632056,34.99454472,100号系統
93,135.77647339,34.99521829,100号系統
94,135.77681806,34.99683583,100号系統
95,135.77693361,34.99736889,100号系統
96,135.77698917,34.99763278,100号系統
97,135.77707876,34.99795484,100号系統
98,135.77711556,34.99823556,100号系統
99,135.77720556,34.99866306,100号系統
100,135.77727417,34.99899111,100号系統
101,135.77731694,34.99927,100号系統
102,135.7773225,34.99930528,100号系統
103,135.77741889,34.99993417,100号系統
104,135.77745426,35.00022157,100号系統
105,135.77745611,35.00026222,100号系統
106,135.77752306,35.00084833,100号系統
107,135.77754333,35.00102639,100号系統
108,135.77752056,35.00143194,100号系統
109,135.7775125,35.00157833,100号系統
110,135.77737444,35.00206528,100号系統
111,135.77726889,35.00243833,100号系統
112,135.77721194,35.00263972,100号系統
113,135.77708972,35.00302056,100号系統
114,135.77704611,35.00322556,100号系統
115,135.7771,35.00342639,100号系統
116,135.77714556,35.0035825,100号系統
117,135.77718246,35.00375499,100号系統
118,135.77730639,35.00395944,100号系統
119,135.77739806,35.00419667,100号系統
120,135.77749472,35.00450028,100号系統
121,135.77759444,35.00491889,100号系統
122,135.77768528,35.00547111,100号系統
123,135.77768972,35.0055125,100号系統
124,135.77774472,35.00610861,100号系統
125,135.77776667,35.00634361,100号系統
126,135.77777548,35.00646065,100号系統
127,135.77779167,35.006645,100号系統
128,135.77780972,35.00682083,100号系統
129,135.77792556,35.00794972,100号系統
130,135.77799917,35.00854917,100号系統
131,135.778,35.0085575,100号系統
132,135.77808324,35.00941483,100号系統
133,135.77891028,35.00948528,100号系統
134,135.77928639,35.00946944,100号系統
135,135.77976222,35.00946306,100号系統
136,135.78040917,35.00939306,100号系統
137,135.78058833,35.00937778,100号系統
138,135.78071222,35.00936694,100号系統
139,135.78105444,35.00932556,100号系統
140,135.78116917,35.00930694,100号系統
141,135.78188333,35.00925944,100号系統
142,135.78278222,35.00933493,100号系統
143,135.78278167,35.0098375,100号系統
144,135.78277749999998,35.00997861,100号系統
145,135.78277749999998,35.01034194,100号系統
146,135.78277528,35.01063833,100号系統
147,135.78277306,35.01092833,100号系統
148,135.78276972,35.01109444,100号系統
149,135.78273139,35.01179972,100号系統
150,135.78272417,35.01189694,100号系統
151,135.78268026,35.01237851,100号系統
152,135.78262194,35.01363361,100号系統
